Cutoff,Acc,Sens,Spec,Prec,Youden,F1,AUC,APR,NND,Cutoff_std,Acc_std,Sens_std,Spec_std,Prec_std,Youden_std,F1_std,AUC_std,APR_std,NND_std
0.012,0.781,0.712,0.781,0.028,0.494,0.054,0.836,0.042,2.03,0.0,0.011,0.033,0.011,0.001,0.023,0.001,0.004,0.003,0.095
0.013,0.788,0.702,0.789,0.028,0.491,0.055,0.836,0.042,2.041,0.0,0.011,0.024,0.012,0.001,0.02,0.002,0.004,0.003,0.083
0.014,0.795,0.692,0.796,0.029,0.488,0.056,0.836,0.042,2.052,0.0,0.014,0.021,0.014,0.002,0.018,0.003,0.004,0.003,0.076
0.015,0.815,0.658,0.816,0.031,0.475,0.059,0.836,0.042,2.107,0.0,0.024,0.026,0.025,0.003,0.01,0.005,0.004,0.003,0.044
0.016,0.833,0.628,0.835,0.033,0.463,0.062,0.836,0.042,2.162,0.0,0.016,0.034,0.017,0.002,0.022,0.003,0.004,0.003,0.104
0.017,0.834,0.628,0.835,0.033,0.464,0.062,0.836,0.042,2.162,0.0,0.016,0.034,0.016,0.002,0.022,0.003,0.004,0.003,0.103
0.018,0.846,0.606,0.848,0.034,0.454,0.064,0.836,0.042,2.206,0.0,0.012,0.023,0.012,0.002,0.017,0.003,0.004,0.003,0.084
0.019,0.855,0.585,0.857,0.035,0.443,0.066,0.836,0.042,2.269,0.0,0.012,0.039,0.013,0.001,0.029,0.003,0.004,0.003,0.153
0.02,0.865,0.558,0.868,0.036,0.426,0.068,0.836,0.042,2.359,0.0,0.014,0.039,0.014,0.002,0.028,0.003,0.004,0.003,0.146
0.021,0.868,0.55,0.871,0.036,0.421,0.068,0.836,0.042,2.386,0.0,0.012,0.04,0.012,0.002,0.029,0.003,0.004,0.003,0.153
0.022,0.875,0.532,0.878,0.037,0.41,0.069,0.836,0.042,2.442,0.0,0.009,0.012,0.009,0.002,0.009,0.004,0.004,0.003,0.054
0.023,0.885,0.499,0.889,0.038,0.388,0.071,0.836,0.042,2.586,0.0,0.009,0.03,0.009,0.002,0.022,0.003,0.004,0.003,0.148
0.024,0.885,0.499,0.889,0.038,0.388,0.071,0.836,0.042,2.586,0.0,0.009,0.03,0.009,0.002,0.022,0.003,0.004,0.003,0.148
