,Cutoff,Acc,Sens,Spec,Prec,Youden,F1,AUC,APR,NND,Cutoff_std,Acc_std,Sens_std,Spec_std,Prec_std,Youden_std,F1_std,AUC_std,APR_std,NND_std
68,0.069,0.983,0.103,0.991,0.091,0.093,0.096,0.834,0.05,10.73,0.0,0.001,0.006,0.001,0.007,0.005,0.004,0.003,0.003,0.538
69,0.07,0.983,0.1,0.991,0.093,0.091,0.096,0.834,0.05,11.009,0.0,0.001,0.006,0.001,0.008,0.005,0.005,0.003,0.003,0.638
70,0.071,0.984,0.096,0.992,0.096,0.088,0.095,0.834,0.05,11.514,0.0,0.001,0.01,0.001,0.01,0.008,0.005,0.003,0.003,1.151
71,0.072,0.984,0.093,0.992,0.097,0.085,0.094,0.834,0.05,11.807,0.0,0.001,0.008,0.001,0.01,0.007,0.004,0.003,0.003,0.966
72,0.073,0.985,0.088,0.993,0.098,0.081,0.092,0.834,0.05,12.487,0.0,0.002,0.009,0.002,0.013,0.008,0.003,0.003,0.003,1.371
73,0.074,0.985,0.087,0.993,0.1,0.08,0.092,0.834,0.05,12.667,0.0,0.001,0.009,0.001,0.012,0.008,0.004,0.003,0.003,1.437
74,0.075,0.985,0.085,0.993,0.101,0.078,0.091,0.834,0.05,12.988,0.0,0.001,0.009,0.001,0.012,0.008,0.006,0.003,0.003,1.474
75,0.076,0.985,0.082,0.993,0.102,0.075,0.09,0.834,0.05,13.476,0.0,0.001,0.009,0.001,0.013,0.008,0.005,0.003,0.003,1.56
76,0.077,0.986,0.08,0.994,0.104,0.074,0.089,0.834,0.05,13.721,0.0,0.001,0.009,0.001,0.012,0.008,0.005,0.003,0.003,1.598
77,0.078,0.986,0.076,0.994,0.104,0.07,0.087,0.834,0.05,14.394,0.0,0.001,0.008,0.001,0.011,0.007,0.005,0.003,0.003,1.643
78,0.079,0.986,0.074,0.994,0.104,0.068,0.086,0.834,0.05,14.808,0.0,0.001,0.009,0.001,0.01,0.008,0.005,0.003,0.003,1.862
79,0.08,0.986,0.072,0.994,0.105,0.066,0.085,0.834,0.05,15.221,0.0,0.001,0.007,0.001,0.013,0.007,0.006,0.003,0.003,1.664
80,0.081,0.986,0.07,0.995,0.106,0.064,0.083,0.834,0.05,15.675,0.0,0.001,0.007,0.001,0.013,0.006,0.006,0.003,0.003,1.538
81,0.082,0.987,0.067,0.995,0.108,0.062,0.082,0.834,0.05,16.142,0.0,0.001,0.006,0.001,0.014,0.005,0.005,0.003,0.003,1.392
82,0.083,0.987,0.065,0.995,0.109,0.06,0.081,0.834,0.05,16.656,0.0,0.001,0.005,0.001,0.013,0.005,0.005,0.003,0.003,1.336
83,0.084,0.987,0.062,0.995,0.11,0.058,0.079,0.834,0.05,17.517,0.0,0.001,0.006,0.001,0.011,0.005,0.005,0.003,0.003,1.557
84,0.085,0.987,0.061,0.996,0.112,0.057,0.079,0.834,0.05,17.801,0.0,0.001,0.005,0.001,0.013,0.005,0.005,0.003,0.003,1.524
85,0.086,0.988,0.058,0.996,0.113,0.053,0.076,0.834,0.05,18.86,0.0,0.001,0.005,0.001,0.015,0.005,0.007,0.003,0.003,1.738
86,0.087,0.988,0.056,0.996,0.112,0.052,0.074,0.834,0.05,19.68,0.0,0.0,0.006,0.001,0.016,0.006,0.008,0.003,0.003,2.471
87,0.088,0.988,0.054,0.996,0.114,0.051,0.073,0.834,0.05,20.09,0.0,0.0,0.007,0.0,0.015,0.006,0.008,0.003,0.003,2.745
88,0.089,0.988,0.053,0.996,0.115,0.049,0.072,0.834,0.05,20.592,0.0,0.0,0.006,0.0,0.015,0.005,0.007,0.003,0.003,2.433
89,0.09,0.988,0.05,0.997,0.119,0.047,0.07,0.834,0.05,21.612,0.0,0.0,0.005,0.0,0.016,0.005,0.007,0.003,0.003,2.377
90,0.091,0.988,0.048,0.997,0.118,0.045,0.068,0.834,0.05,22.716,0.0,0.0,0.006,0.0,0.017,0.006,0.009,0.003,0.003,3.339
91,0.092,0.988,0.047,0.997,0.12,0.044,0.068,0.834,0.05,23.139,0.0,0.0,0.006,0.0,0.017,0.006,0.009,0.003,0.003,3.503
92,0.093,0.989,0.045,0.997,0.123,0.043,0.066,0.834,0.05,24.001,0.0,0.0,0.006,0.0,0.019,0.006,0.009,0.003,0.003,3.618
93,0.094,0.989,0.044,0.997,0.123,0.041,0.064,0.834,0.05,24.882,0.0,0.0,0.005,0.0,0.016,0.005,0.008,0.003,0.003,3.254
94,0.095,0.989,0.042,0.997,0.123,0.039,0.062,0.834,0.05,25.917,0.0,0.0,0.005,0.0,0.017,0.005,0.007,0.003,0.003,3.226
95,0.096,0.989,0.041,0.997,0.122,0.038,0.061,0.834,0.05,26.559,0.0,0.0,0.004,0.0,0.016,0.004,0.006,0.003,0.003,2.932
96,0.097,0.989,0.04,0.997,0.123,0.037,0.06,0.834,0.05,27.296,0.0,0.0,0.004,0.0,0.015,0.004,0.006,0.003,0.003,2.918
97,0.098,0.989,0.039,0.998,0.124,0.037,0.059,0.834,0.05,27.536,0.0,0.0,0.004,0.0,0.015,0.004,0.006,0.003,0.003,2.67
98,0.099,0.989,0.039,0.998,0.126,0.037,0.059,0.834,0.05,27.634,0.0,0.0,0.004,0.0,0.013,0.004,0.005,0.003,0.003,2.572
99,0.1,0.989,0.038,0.998,0.128,0.035,0.058,0.834,0.05,28.66,0.0,0.0,0.004,0.0,0.016,0.004,0.006,0.003,0.003,2.95
