Features,Cover,Gain,IsImaging,NA_full,NA_target,Path,Field,ValueType,Units
26721-0.0,0.00022222222222222223,3.7258081136651666e-05,True,1.3,1.4,,26721-0.0,,
25370-0.0,0.00022222222222222223,3.7178001362768285e-05,True,5.0,19.6,,25370-0.0,,
25417-0.0,0.00022222222222222223,3.7071984145445243e-05,True,5.0,19.6,,25417-0.0,,
25697-0.0,0.00022222222222222223,3.696151154878321e-05,True,5.0,19.6,,25697-0.0,,
27260-0.0,0.00022222222222222223,3.6738631552402016e-05,True,1.3,1.4,,27260-0.0,,
25303-0.0,0.00044444444444444447,3.660268445528234e-05,True,5.0,19.6,,25303-0.0,,
23100-0.0,0.00022222222222222223,3.6452048466907804e-05,False,1.3,2.0,,23100-0.0,,
27459-0.0,0.00022222222222222223,3.6443549317579064e-05,True,1.3,1.4,,27459-0.0,,
25265-0.0,0.00022222222222222223,3.643407763304462e-05,True,5.0,19.6,,25265-0.0,,
25342-0.0,0.00044444444444444447,3.6329238518571624e-05,True,5.0,19.6,,25342-0.0,,
25425-0.0,0.00044444444444444447,3.6318888404683085e-05,True,5.0,19.6,,25425-0.0,,
1428-0.0_c0,0.00022222222222222223,3.623973806099752e-05,False,0.0,0.0,,1428-0.0_c0,,
25807-0.0,0.00022222222222222223,3.588621949874075e-05,True,0.0,0.0,,25807-0.0,,
27584-0.0,0.00022222222222222223,3.558787291457755e-05,True,1.3,1.4,,27584-0.0,,
27684-0.0,0.00022222222222222223,3.542206316225385e-05,True,1.3,1.4,,27684-0.0,,
26966-0.0,0.00022222222222222223,3.5399263743505345e-05,True,1.3,1.4,,26966-0.0,,
20107-0.2_pos,0.00044444444444444447,3.518187419647013e-05,False,0.0,0.0,,20107-0.2_pos,,
5485-0.0_c1,0.00022222222222222223,3.511506880982397e-05,False,0.0,0.0,,5485-0.0_c1,,
27637-0.0,0.00022222222222222223,3.499806201442232e-05,True,1.3,1.4,,27637-0.0,,
27539-0.0,0.00022222222222222223,3.498626049807407e-05,True,1.3,1.4,,27539-0.0,,
1478-0.0_c0,0.00022222222222222223,3.486350858804935e-05,False,0.0,0.0,,1478-0.0_c0,,
49-0.0,0.00044444444444444447,3.471716298402553e-05,False,0.1,0.0,,49-0.0,,
27338-0.0,0.00022222222222222223,3.459494794099414e-05,True,1.3,1.4,,27338-0.0,,
25170-0.0,0.00022222222222222223,3.4468484503712096e-05,True,5.0,19.6,,25170-0.0,,
25075-0.0,0.00022222222222222223,3.4264919322504545e-05,True,5.0,19.6,,25075-0.0,,
25249-0.0,0.00022222222222222223,3.415428710837605e-05,True,5.0,19.6,,25249-0.0,,
27575-0.0,0.00022222222222222223,3.410320821186593e-05,True,1.3,1.4,,27575-0.0,,
26885-0.0,0.00022222222222222223,3.390101506994123e-05,True,1.3,1.4,,26885-0.0,,
25713-0.0,0.00022222222222222223,3.381679257857571e-05,True,5.0,19.6,,25713-0.0,,
2020-0.0_c0,0.00022222222222222223,3.374824318446085e-05,False,0.0,0.0,,2020-0.0_c0,,
22040-0.0,0.00044444444444444447,3.330201792070032e-05,False,16.7,25.7,,22040-0.0,,
26684-0.0,0.00022222222222222223,3.3156751858341826e-05,True,1.3,1.4,,26684-0.0,,
25606-0.0,0.00022222222222222223,3.311588557274202e-05,True,5.0,19.6,,25606-0.0,,
25389-0.0,0.00022222222222222223,3.2885953014510794e-05,True,5.0,19.6,,25389-0.0,,
25010-0.0,0.00022222222222222223,3.281410191136627e-05,True,0.0,0.0,,25010-0.0,,
25517-0.0,0.00022222222222222223,3.2321748877404835e-05,True,5.0,19.6,,25517-0.0,,
25620-0.0,0.00022222222222222223,3.2140335392341084e-05,True,5.0,19.6,,25620-0.0,,
27027-0.0,0.00022222222222222223,3.212793768463852e-05,True,1.3,1.4,,27027-0.0,,
26836-0.0,0.00022222222222222223,3.2075563741288176e-05,True,1.3,1.4,,26836-0.0,,
25512-0.0,0.00022222222222222223,3.202577501383447e-05,True,5.0,19.6,,25512-0.0,,
27112-0.0,0.00022222222222222223,3.200172262571516e-05,True,1.3,1.4,,27112-0.0,,
26896-0.0,0.00022222222222222223,3.193680127188051e-05,True,1.3,1.4,,26896-0.0,,
27302-0.0,0.00022222222222222223,3.1810861699897596e-05,True,1.3,1.4,,27302-0.0,,
27366-0.0,0.00022222222222222223,3.168463277558145e-05,True,1.3,1.4,,27366-0.0,,
25763-0.0,0.00022222222222222223,3.166631137169541e-05,True,16.7,26.4,,25763-0.0,,
27487-0.0,0.00022222222222222223,3.143834619030874e-05,True,1.3,1.4,,27487-0.0,,
27067-0.0,0.00022222222222222223,3.1238129413703456e-05,True,1.3,1.4,,27067-0.0,,
27264-0.0,0.00022222222222222223,3.097789539532818e-05,True,1.3,1.4,,27264-0.0,,
25868-0.0,0.00022222222222222223,3.0821225530037905e-05,True,0.0,0.0,,25868-0.0,,
27766-0.0,0.00022222222222222223,3.057638377552028e-05,True,1.3,1.4,,27766-0.0,,
27026-0.0,0.00022222222222222223,3.057334692513659e-05,True,1.3,1.4,,27026-0.0,,
25878-0.0,0.00022222222222222223,3.056252374470605e-05,True,0.0,0.0,,25878-0.0,,
25143-0.0,0.00022222222222222223,3.055895838053991e-05,True,5.0,19.6,,25143-0.0,,
27720-0.0,0.00022222222222222223,3.0496487572456944e-05,True,1.3,1.4,,27720-0.0,,
26617-0.0,0.00022222222222222223,3.045742459911357e-05,True,1.3,1.4,,26617-0.0,,
26666-0.0,0.00022222222222222223,3.0353334072977966e-05,True,1.3,1.4,,26666-0.0,,
25523-0.0,0.00022222222222222223,3.0351493866137995e-05,True,5.0,19.6,,25523-0.0,,
25636-0.0,0.00022222222222222223,3.03185961271422e-05,True,5.0,19.6,,25636-0.0,,
26828-0.0,0.00022222222222222223,3.023516632523897e-05,True,1.3,1.4,,26828-0.0,,
27258-0.0,0.00022222222222222223,3.013551333927147e-05,True,1.3,1.4,,27258-0.0,,
884-0.0,0.00022222222222222223,2.998354900798009e-05,False,2.4,3.4,,884-0.0,,
27215-0.0,0.00022222222222222223,2.9745442091466205e-05,True,1.3,1.4,,27215-0.0,,
924-0.0_c1,0.00022222222222222223,2.9710269389867203e-05,False,0.0,0.0,,924-0.0_c1,,
27284-0.0,0.00022222222222222223,2.9662923265989348e-05,True,1.3,1.4,,27284-0.0,,
25438-0.0,0.00022222222222222223,2.9608645053076927e-05,True,5.0,19.6,,25438-0.0,,
27588-0.0,0.00044444444444444447,2.9523363509023167e-05,True,1.3,1.4,,27588-0.0,,
26571-0.0,0.00022222222222222223,2.9499368632590768e-05,True,1.3,1.4,,26571-0.0,,
26513-0.0,0.00022222222222222223,2.9485434807296884e-05,True,1.3,1.4,,26513-0.0,,
1140-0.0_c0,0.00022222222222222223,2.9464265724513077e-05,False,0.0,0.0,,1140-0.0_c0,,
4559-0.0_c0,0.00022222222222222223,2.9409976190412538e-05,False,0.0,0.0,,4559-0.0_c0,,
924-0.0_c2,0.00022222222222222223,2.9040237784732493e-05,False,0.0,0.0,,924-0.0_c2,,
27471-0.0,0.00022222222222222223,2.893073730629857e-05,True,1.3,1.4,,27471-0.0,,
27126-0.0,0.00022222222222222223,2.8818362996898552e-05,True,1.3,1.4,,27126-0.0,,
27174-0.0,0.00022222222222222223,2.8803502156153453e-05,True,1.3,1.4,,27174-0.0,,
27330-0.0,0.00022222222222222223,2.872771802244321e-05,True,1.3,1.4,,27330-0.0,,
26790-0.0,0.00022222222222222223,2.8655942958767997e-05,True,1.3,1.4,,26790-0.0,,
25865-0.0,0.00022222222222222223,2.8611908827908236e-05,True,0.0,0.0,,25865-0.0,,
25203-0.0,0.00022222222222222223,2.8595281501928755e-05,True,5.0,19.6,,25203-0.0,,
27710-0.0,0.00022222222222222223,2.8262014765426957e-05,True,1.3,1.4,,27710-0.0,,
25437-0.0,0.00022222222222222223,2.808727951934349e-05,True,5.0,19.6,,25437-0.0,,
3731-0.0_c2,0.00022222222222222223,2.8014601050979393e-05,False,0.0,0.0,,3731-0.0_c2,,
26808-0.0,0.00022222222222222223,2.7878873538645627e-05,True,1.3,1.4,,26808-0.0,,
25279-0.0,0.00022222222222222223,2.7831493724820388e-05,True,5.0,19.6,,25279-0.0,,
20111-0.10_pos,0.00022222222222222223,2.777776379582507e-05,False,0.0,0.0,,20111-0.10_pos,,
26653-0.0,0.00022222222222222223,2.754420595294976e-05,True,1.3,1.4,,26653-0.0,,
