Features,Cover,Gain,NA_full,NA_target,Path,Field,ValueType,Units
3741-0.0_c0,0.0008888888888888889,0.00029424379582565366,0.0,0.0,,3741-0.0_c0,,
4570-0.0_c6,0.0015555555555555557,0.00029417186468290885,0.0,0.0,,4570-0.0_c6,,
3466-0.0_c1,0.0017777777777777776,0.0002931542929983741,0.0,0.0,,3466-0.0_c1,,
904-0.0,0.0015555555555555557,0.00029075284607277187,5.4,10.1,,904-0.0,,
1618-0.0_c1,0.0015555555555555555,0.0002897924971705071,0.0,0.0,,1618-0.0_c1,,
864-0.0,0.0017777777777777779,0.00028328249645434713,2.0,4.7,,864-0.0,,
1727-0.0_c2,0.0017777777777777776,0.00028083388302531734,0.0,0.0,,1727-0.0_c2,,
2100-0.0_c1,0.0017777777777777779,0.0002774590764536713,0.0,0.0,,2100-0.0_c1,,
30300-0.0,0.0017777777777777779,0.0002728010263858085,6.5,7.3,,30300-0.0,,
2129-0.0_c1,0.0015555555555555555,0.00027115349550812574,0.0,0.0,,2129-0.0_c1,,
4581-0.0_c1,0.0015555555555555555,0.0002616584866081201,0.0,0.0,,4581-0.0_c1,,
30220-0.0,0.0017777777777777779,0.000257988506708417,5.0,6.2,,30220-0.0,,
3446-0.0_c4,0.00044444444444444447,0.00025312453110029024,0.0,0.0,,3446-0.0_c4,,
4079-0.0,0.0015555555555555557,0.0002511959552815809,6.0,6.9,,4079-0.0,,
6146-0.0_neg,0.0011111111111111111,0.0002506114265913951,0.0,0.0,,6146-0.0_neg,,
1130-0.0_c0,0.0015555555555555557,0.0002466532824451608,0.0,0.0,,1130-0.0_c0,,
1190-0.0_c1,0.00022222222222222223,0.00024363259581692585,0.0,0.0,,1190-0.0_c1,,
2814-0.0_c2,0.00022222222222222223,0.0002400931373798604,0.0,0.0,,2814-0.0_c2,,
23109-0.0,0.0006666666666666668,0.0002289319928672499,2.0,3.7,,23109-0.0,,
2227-0.0_c0,0.0006666666666666668,0.00022445875857054283,0.0,0.0,,2227-0.0_c0,,
3446-0.0_c0,0.0011111111111111111,0.000223156833011057,0.0,0.0,,3446-0.0_c0,,
2020-0.0_c1,0.0011111111111111111,0.00022170697321912368,0.0,0.0,,2020-0.0_c1,,
874-0.0,0.0013333333333333335,0.00021914052017755705,15.2,19.6,,874-0.0,,
23129-0.0,0.0011111111111111111,0.00021648149109547272,2.0,3.7,,23129-0.0,,
1329-0.0_c6,0.0011111111111111113,0.00021418862779471165,0.0,0.0,,1329-0.0_c6,,
2834-0.0_c1,0.00044444444444444447,0.00021023621444989402,0.0,0.0,,2834-0.0_c1,,
991-0.0_c6,0.0008888888888888889,0.00020948554056438175,0.0,0.0,,991-0.0_c6,,
4642-0.0_c0,0.00044444444444444447,0.00020827562166555278,0.0,0.0,,4642-0.0_c0,,
30060-0.0,0.0008888888888888889,0.0002076912709143414,4.8,6.1,,30060-0.0,,
48-0.0,0.0011111111111111111,0.0002042152080327571,0.4,0.7,,48-0.0,,
2694-0.0_c2,0.00044444444444444447,0.0002037075082138032,0.0,0.0,,2694-0.0_c2,,
6152-0.0_neg,0.0011111111111111111,0.00020341028377284654,0.0,0.0,,6152-0.0_neg,,
6162-0.0_pos,0.0011111111111111111,0.0001953564374795031,0.0,0.0,,6162-0.0_pos,,
6160-0.3_pos,0.0011111111111111111,0.00019169196831502502,0.0,0.0,,6160-0.3_pos,,
4674-0.0_c2,0.0008888888888888889,0.00019140281833077402,0.0,0.0,,4674-0.0_c2,,
1379-0.0_c6,0.00022222222222222223,0.00018865831077688442,0.0,0.0,,1379-0.0_c6,,
2000-0.0_c2,0.0008888888888888889,0.0001845174356968705,0.0,0.0,,2000-0.0_c2,,
6142-0.1_pos,0.0011111111111111113,0.00018420039545697796,0.0,0.0,,6142-0.1_pos,,
884-0.0,0.0006666666666666668,0.00018270533291911515,5.4,9.8,,884-0.0,,
