s01_rank,feature,s01_gain
78,FS_ST62SA,0.014942084129848805
79,FS_ST59TA,0.014677686426988633
80,FS_ST108TS,0.014611271791389574
81,FS_ST54TA,0.014572174253000059
82,FS_ST69SV,0.014492564116118697
83,AB42_F,0.014348420614569665
84,FS_ST90CV,0.01430278833805607
85,FS_ST129TA,0.014112927912951797
86,FS_ST23TS,0.013897715898106247
87,FS_ST74TA,0.01358894433928014
88,FS_ST57CV,0.013473438181854952
89,FS_ST99TS,0.013265106150866972
90,FS_ST118CV,0.01322301311482093
91,FS_ST103CV,0.013086715816547164
92,FS_ST70SV,0.012971601737401573
93,FS_ST98TS,0.01267715453613592
94,FS_ST94TS,0.012459345989493081
95,FS_ST73TS,0.012370430222942536
96,FS_ST59CV,0.012336226805685056
97,WMH_CEREBRUM_GRAY,0.012313238625152972
98,FS_ST83TS,0.012307189054053022
99,FS_ST107TS,0.012236601790737722
100,PTEDUCAT,0.012232019682030807
101,FS_ST111CV,0.012181951857460143
102,FS_ST40CV,0.012172258924091852
103,FS_ST54SA,0.012161167746419059
104,FS_ST120SV,0.012149236523780712
105,FS_ST80SV,0.012125229298582597
106,FS_ST24SA,0.012107290929260658
107,FS_ST39TS,0.011689042780622251
108,FS_ST85SA,0.011447804485197359
109,FS_ST25TS,0.011363008963025143
110,FS_ST15SA,0.011331403901200373
111,BSI_VENTVOL,0.011259972356957597
112,FS_ST103SA,0.011080617032857613
113,FS_ST57SA,0.011077714082539719
114,FS_ST9SV,0.010974924561348402
115,FS_ST36TS,0.010966731824763588
116,FS_ST55SA,0.010870240066004715
117,FS_ST114CV,0.010861815255719559
118,FS_ST15TA,0.01084777002424454
119,FS_ST37SV,0.010834909179457744
120,FS_ST55TS,0.010799267092478772
121,age,0.010713976347468243
122,FS_ST60CV,0.010624679022406158
123,APOE4_carrier,0.010609343698766373
124,FS_ST103TS,0.010502011359801347
125,FS_ST110TS,0.010403648949474337
126,FS_ST95TS,0.010364271883073203
127,FS_ST58SA,0.010278103880749843
128,FS_ST101SV,0.010266505621768963
129,FS_ST84SA,0.010165006919717553
130,FS_ST90SA,0.010116505610887096
131,FS_ST50CV,0.0100758124847914
132,FS_ST25TA,0.010043118392492672
133,FS_ST44CV,0.010015343604738772
134,FS_ST48TA,0.0099921556146753
135,FS_ST43CV,0.009866451271817673
136,FS_ST45TS,0.009857397176063081
137,FS_ST84TA,0.009796235032647536
138,FS_ST129CV,0.009605610243769666
139,FS_ST50TS,0.00958744324646914
140,FS_ST58TS,0.00956825901623819
141,FS_ST26SA,0.009445472262681564
142,FS_ST47TS,0.009434503786576455
143,FS_ST48CV,0.00943254282564258
144,FS_ST107TA,0.009369922593739043
145,FS_ST98CV,0.009323548004845764
146,FS_ST35TA,0.0092810733687036
147,FS_ST75SV,0.009248162224922396
148,FS_ST51TS,0.009226035385324512
149,FS_ST105SA,0.009199606497626495
150,FS_ST118SA,0.009093542775597836
151,FS_ST111SA,0.009014781176271133
152,FS_ST110TA,0.009009546281449392
153,FS_ST102TS,0.008964530868416087
154,FS_ST35CV,0.008899888461828685
155,FS_ST44SA,0.008870734416347496
156,FS_ST91TS,0.008869673109672183
157,FS_ST84CV,0.008867343586811561
158,FS_ST47SA,0.008782268757643258
159,FS_ST24CV,0.00870502265781179
160,FS_ST119CV,0.008661994684308734
161,FS_ST109CV,0.008652062103579545
162,FS_ST97SA,0.008606069664504029
163,FS_ST51TA,0.008549101517664852
164,FS_ST113CV,0.008522123015075664
165,FS_ST25CV,0.008495683626472846
166,FS_ST83SA,0.008304683814555102
167,FS_ST47CV,0.008280378658478643
168,FS_ST99CV,0.00819528035122634
169,FS_ST106TA,0.00819016669370341
170,FS_ST85CV,0.008131469589166935
171,FS_ST73SA,0.008093860511947382
172,FS_ST14TS,0.008038017699019746
173,FS_ST118TA,0.00799428572165926
174,FS_ST103TA,0.007970416007443512
175,FS_ST72SA,0.007932479021365256
176,FS_ST52SA,0.007902063387386568
177,FS_ST105TA,0.0078087023442892185
178,FS_ST72TS,0.007759438063143522
