s01_rank,feature,s01_gain,in_top10_survival
134,FS_ST5SV,0.00902155489087572,False
135,FS_ST6SV,0.00899126854314539,False
136,FS_ST57SA,0.008940272438823725,False
137,FS_ST46TA,0.008822074123645485,False
138,FS_ST58CV,0.008809037580885656,False
139,FS_ST60CV,0.008735436825166332,False
140,FS_ST90TS,0.008685011111162842,False
141,FS_ST74SA,0.008680097224551993,False
142,FS_ST42SV,0.008631717960727994,False
143,WMH_CEREBRUM_TCV,0.008400363358342796,False
144,TAU_CTX_ENTORHINAL_SUVR,0.008362560634250057,False
145,FS_ST50TA,0.008328981275200542,False
146,FS_ST46SA,0.008239301744461257,False
147,FS_ST24TA,0.008171212866326834,False
148,FS_ST35CV,0.008167045440351947,False
149,FS_ST66SV,0.008162201435230523,False
150,FS_ST105SA,0.008154152450179268,False
151,FS_ST55SA,0.008076026750669742,False
152,FS_ST121CV,0.008064668619831792,False
153,FS_ST72TS,0.008027589590605202,False
154,FS_ST54TS,0.007898185673148404,False
155,FS_ST103CV,0.007891032736783508,False
156,FS_ST62TS,0.007834487657174741,False
157,FS_ST32CV,0.007807055929661233,False
158,FS_ST54SA,0.007747123403836405,False
159,FS_ST130TS,0.007694021199614572,False
160,FS_ST83CV,0.0076540127534758815,False
161,FS_ST119CV,0.007631255903784168,False
162,FS_ST35TA,0.007560082843190366,False
163,FS_ST51SA,0.007426083700544478,False
164,FS_ST111TA,0.007375307880090188,False
165,PTEDUCAT,0.007335094500338304,False
166,FS_ST47SA,0.007301333927966233,False
167,FS_ST113SA,0.007292489597403789,False
168,FS_ST38TA,0.007253100235406458,False
169,FS_ST118TS,0.007224085224499761,False
170,FS_ST151SV,0.007016391799025267,False
171,FS_ST24SA,0.007011937160166312,False
172,FS_ST98CV,0.0070021363831055845,False
173,FS_ST48SA,0.006966659796329376,False
174,FS_ST113CV,0.006908384790954916,False
175,FS_ST127SV,0.006898928768104255,False
176,FS_ST105TA,0.006891508020370173,False
177,FS_ST56CV,0.0068540249384381555,False
178,FS_ST111TS,0.006850927162440975,False
179,FS_ST111SA,0.006823946645443319,False
180,FS_ST61SV,0.00677638716438579,False
181,age,0.006706266559288894,False
182,FS_ST83TS,0.0065176262843569055,False
183,FS_ST48TS,0.006460620976360975,False
184,FS_ST50TS,0.006445009955103593,False
185,FS_ST16SV,0.006421605016222345,False
186,FS_ST99TS,0.006414176253363144,False
187,AB42_F,0.006408913158618638,False
188,FS_ST15TS,0.006332105905597558,False
189,FS_ST85CV,0.0063203811300037655,False
190,FS_ST102TA,0.006319160533870839,False
191,FS_ST23TA,0.006273464321634043,False
192,AMY_AMYLOID_STATUS,0.006255211001894851,False
193,FS_ST107TS,0.0062340019137770205,False
194,FS_ST129CV,0.006190249278312876,False
195,AB40_F,0.006158329115194263,False
196,FS_ST95CV,0.006078438649033271,False
197,FS_ST43SA,0.006007672945868431,False
198,FS_ST54TA,0.00600734885913046,False
199,FS_ST17SV,0.006002975911525085,False
200,FS_ST130CV,0.005998781031318038,False
201,FS_ST36TS,0.0059902252360082954,False
202,FS_ST69SV,0.005986675772055312,False
203,FS_ST25TA,0.0059351231019855715,False
204,FS_ST82SA,0.005917891422754453,False
205,FS_ST116SA,0.005895269497329273,False
206,FS_ST124SV,0.00581904410175018,False
207,FS_ST24CV,0.005789927983269364,False
208,FS_ST73TS,0.005721284719347904,False
209,FS_ST90TA,0.005707963545737036,False
210,FS_ST110TA,0.0056565794731031314,False
211,FS_ST9SV,0.005623425995095509,False
212,FS_ST116TA,0.0056222203636436,False
