Features,Cover,Gain,IsImaging,NA_full,NA_target,Path,Field,ValueType,Units
25485-0.0,0.00022222222222222223,1.7130152787296063e-06,True,5.0,27.4,,25485-0.0,,
30240-0.0,0.00022222222222222223,1.6922387184007157e-06,False,6.5,8.1,,30240-0.0,,
23117-0.0,0.00022222222222222223,1.6883077739853262e-06,False,1.2,1.6,,23117-0.0,,
27041-0.0,0.00022222222222222223,1.6871734039514296e-06,True,1.3,3.2,,27041-0.0,,
27157-0.0,0.00022222222222222223,1.6818897804620212e-06,True,1.3,3.2,,27157-0.0,,
26933-0.0,0.00022222222222222223,1.668477949076457e-06,True,1.3,3.2,,26933-0.0,,
25733-0.0,0.00022222222222222223,1.6576709282139565e-06,True,0.0,0.0,,25733-0.0,,
27259-0.0,0.00022222222222222223,1.64447953870995e-06,True,1.3,3.2,,27259-0.0,,
25420-0.0,0.00022222222222222223,1.6397229442342094e-06,True,5.0,27.4,,25420-0.0,,
25222-0.0,0.00022222222222222223,1.6276483421485113e-06,True,5.0,27.4,,25222-0.0,,
30690-0.0,0.00022222222222222223,1.6198432598162768e-06,False,6.5,8.1,,30690-0.0,,
26593-0.0,0.00022222222222222223,1.5987972589033512e-06,True,1.3,3.2,,26593-0.0,,
25067-0.0,0.00022222222222222223,1.587494610935033e-06,True,5.0,27.4,,25067-0.0,,
26996-0.0,0.00022222222222222223,1.5845104918776484e-06,True,1.3,3.2,,26996-0.0,,
27688-0.0,0.00022222222222222223,1.5761273395739048e-06,True,1.3,3.2,,27688-0.0,,
26981-0.0,0.00022222222222222223,1.5627524502352985e-06,True,1.3,3.2,,26981-0.0,,
27345-0.0,0.00022222222222222223,1.5398489135192102e-06,True,1.3,3.2,,27345-0.0,,
943-0.0_c4,0.00022222222222222223,1.527647330795053e-06,False,0.0,0.0,,943-0.0_c4,,
25128-0.0,0.00022222222222222223,1.5262972608391391e-06,True,5.0,27.4,,25128-0.0,,
25845-0.0,0.00022222222222222223,1.5136478145940227e-06,True,0.0,0.0,,25845-0.0,,
23129-0.0,0.00022222222222222223,1.4860662573551812e-06,False,1.3,1.6,,23129-0.0,,
27514-0.0,0.00022222222222222223,1.4419603783842088e-06,True,1.3,3.2,,27514-0.0,,
26983-0.0,0.00022222222222222223,1.3637046984866548e-06,True,1.3,3.2,,26983-0.0,,
25363-0.0,0.00022222222222222223,1.3616932488205243e-06,True,5.0,27.4,,25363-0.0,,
27468-0.0,0.00022222222222222223,1.346778727197648e-06,True,1.3,3.2,,27468-0.0,,
25393-0.0,0.00022222222222222223,1.3352629250097718e-06,True,5.0,27.4,,25393-0.0,,
27353-0.0,0.00022222222222222223,1.2248444908571962e-06,True,1.3,3.2,,27353-0.0,,
25069-0.0,0.00022222222222222223,1.1954392364410156e-06,True,5.0,27.4,,25069-0.0,,
27384-0.0,0.00022222222222222223,1.1435577864321055e-06,True,1.3,3.2,,27384-0.0,,
26691-0.0,0.00022222222222222223,1.1249073830318025e-06,True,1.3,3.2,,26691-0.0,,
25038-0.0,0.00022222222222222223,1.1239943150201117e-06,True,9.0,14.5,,25038-0.0,,
