,Cutoff,Acc,Sens,Spec,Prec,Youden,F1,AUC,APR,NND,Cutoff_std,Acc_std,Sens_std,Spec_std,Prec_std,Youden_std,F1_std,AUC_std,APR_std,NND_std
12,0.013,0.777,0.742,0.777,0.029,0.519,0.056,0.841,0.05,1.928,0.0,0.006,0.019,0.006,0.0,0.014,0.0,0.004,0.001,0.05
13,0.014,0.79,0.717,0.79,0.03,0.507,0.057,0.841,0.05,1.972,0.0,0.006,0.02,0.006,0.0,0.015,0.001,0.004,0.001,0.059
14,0.015,0.804,0.696,0.804,0.031,0.5,0.059,0.841,0.05,2.002,0.0,0.004,0.022,0.005,0.001,0.018,0.001,0.004,0.001,0.073
15,0.016,0.816,0.676,0.817,0.032,0.493,0.061,0.841,0.05,2.03,0.0,0.004,0.022,0.004,0.001,0.018,0.001,0.004,0.001,0.075
16,0.017,0.828,0.648,0.829,0.033,0.478,0.063,0.841,0.05,2.098,0.0,0.004,0.025,0.004,0.001,0.023,0.002,0.004,0.001,0.102
17,0.018,0.839,0.626,0.841,0.034,0.467,0.065,0.841,0.05,2.146,0.0,0.003,0.026,0.004,0.001,0.024,0.002,0.004,0.001,0.113
18,0.019,0.848,0.605,0.85,0.035,0.456,0.066,0.841,0.05,2.2,0.0,0.003,0.024,0.003,0.001,0.023,0.002,0.004,0.001,0.114
19,0.02,0.856,0.589,0.859,0.036,0.448,0.068,0.841,0.05,2.239,0.0,0.002,0.022,0.002,0.001,0.021,0.002,0.004,0.001,0.109
20,0.021,0.865,0.57,0.867,0.037,0.437,0.069,0.841,0.05,2.294,0.0,0.002,0.021,0.002,0.001,0.02,0.002,0.004,0.001,0.11
21,0.022,0.872,0.55,0.874,0.038,0.424,0.071,0.841,0.05,2.36,0.0,0.002,0.018,0.002,0.001,0.018,0.003,0.004,0.001,0.107
22,0.023,0.879,0.531,0.882,0.039,0.413,0.072,0.841,0.05,2.429,0.0,0.002,0.018,0.002,0.001,0.018,0.003,0.004,0.001,0.112
23,0.024,0.886,0.507,0.89,0.04,0.397,0.073,0.841,0.05,2.522,0.0,0.003,0.017,0.003,0.001,0.016,0.003,0.004,0.001,0.108
24,0.025,0.894,0.49,0.897,0.041,0.387,0.076,0.841,0.05,2.586,0.0,0.004,0.015,0.004,0.002,0.015,0.003,0.004,0.001,0.1
25,0.026,0.901,0.469,0.905,0.042,0.374,0.078,0.841,0.05,2.676,0.0,0.005,0.013,0.005,0.002,0.012,0.003,0.004,0.001,0.085
26,0.027,0.909,0.44,0.913,0.044,0.354,0.079,0.841,0.05,2.83,0.0,0.006,0.014,0.006,0.002,0.011,0.004,0.004,0.001,0.087
27,0.028,0.915,0.42,0.92,0.045,0.339,0.081,0.841,0.05,2.948,0.0,0.005,0.012,0.005,0.002,0.01,0.004,0.004,0.001,0.089
28,0.029,0.921,0.401,0.926,0.046,0.327,0.083,0.841,0.05,3.062,0.0,0.004,0.01,0.004,0.002,0.009,0.003,0.004,0.001,0.083
29,0.03,0.926,0.38,0.931,0.047,0.311,0.084,0.841,0.05,3.215,0.0,0.003,0.009,0.003,0.002,0.008,0.003,0.004,0.001,0.079
